epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(1, 1)",TEA PARTY,8,"(100,)",False,"It's a silly, out-dated affectation to crook this when picking up a teacup",Pinky finger,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(2, 1)",CASTLES,10,"(100,)",False,Do this at Blarney Castle & you'll receive a lovely parting gift -- the gift of gab,Kiss the Blarney stone,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(3, 1)",1820s AMERICA,9,"(100,)",False,"Once a part of Massachusetts, it became the 23rd state in 1820 with Portland as its capital",Maine,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(4, 1)",SCI FI IDENTIFY,13,"(100,)",False,"1985:""You've got a real attitude problem, McFly, you're a slacker""",Back To The Future,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(5, 1)",MYTH ME?,1,"(100,)",False,"In Roman myth, it was the symbol of the goddess Fortuna, not of Vanna",Wheel of fortune,0,3
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(6, 1)","CROSSWORD CLUES ""K""",3,"(100,)",False,Scotsman's skirt              (4),Kilt,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(1, 2)",TEA PARTY,11,"(200,)",False,"It's a ""comfy"" term for a teapot cover",Cozy,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(2, 2)",CASTLES,16,"(200,)",False,"The ""castle"" built by this publisher sits on La Cuesta Encantada, ""The Enchanted Hill""",William Randolph Hearst,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(3, 2)",1820s AMERICA,17,"(200,)",False,"On July 4, 1826 this former president died at age 83 after asking, ""Is it the fourth?""",Thomas Jefferson,1,0
3264,1998-11-12,"1998 Boston Week game 4.
From the Wang Center for the Performing Arts in Boston, Massachusetts.",Jeopardy,"(4, 2)",SCI FI IDENTIFY,24,"(200,)",False,"1977:""The force is strong with this one""",Star Wars,1,0
